window_label,n,test_accuracy,mean_val_j,mean_val_f1,mean_val_acc,mean_signed_margin
1000/500,57,0.7894736842105263,0.9403508335614045,0.9663046505151768,0.9707602339181287,0.15884851288377194
1500/750,57,0.7192982456140351,0.9289473250394746,0.9600389863547758,0.9649122807017544,0.13826510245339912
2000/1000,57,0.7894736842105263,0.9307017109254395,0.9614035087719298,0.9649122807017544,0.13530316269188597
2000/500,57,0.7368421052631579,0.9131578517149133,0.9511974380395433,0.9571150097465887,0.1424882534094024
