pid,n_rows,n_trials,mask_missing_rate,severe_frame_rate,valid_windows_2000_1000,valid_windows_1500_750,valid_windows_1000_500,valid_windows_2000_500
1,6393,21,0.2867198498357579,0.19959330517753793,77,108,170,142
2,6223,22,0.32526801496751684,0.33681504097702075,56,87,143,99
3,8714,34,0.2966490704613266,0.25131971540050496,93,143,232,168
4,8902,33,0.2829540713162371,0.21759155246012132,94,142,243,161
5,7105,29,0.302704332964713,0.3047149894440535,78,111,182,139
6,7696,26,0.22282447282447282,0.15696465696465697,87,131,218,162
7,4931,18,0.4229510096474201,0.4925978503346177,35,56,86,67
8,4885,17,0.5011551396402983,0.5318321392016376,30,46,81,52
9,5044,10,0.49954684490766965,0.5909992069785884,29,44,73,56
10,8881,31,0.22076021040101662,0.11822992906204256,107,159,265,187
11,14253,32,0.45700654498802257,0.42706798568722376,150,203,298,289
13,13111,38,0.194863636858908,0.2831210433986729,138,208,340,251
14,12364,38,0.18529602070527337,0.26334519572953735,144,211,341,269
15,18071,38,0.2742752792556345,0.42941729843395493,183,256,407,340
17,28858,50,0.3333762363494154,0.517499480213459,234,330,508,446
18,31510,44,0.290071179217482,0.436655030149159,291,416,651,572
19,33645,46,0.17731354690784026,0.26191113092584334,425,584,902,829
20,32035,45,0.21224553501750318,0.33413454034649603,377,531,820,749
21,19945,17,0.4927479139060989,0.7831035347204813,63,97,158,126
22,13625,29,0.37887287024901706,0.27390825688073395,152,216,342,303
23,18662,34,0.3244101841786977,0.43800235773229024,163,237,389,314
24,22938,48,0.4149882291394193,0.3183363850379283,232,335,541,464
25,16408,21,0.4391063592672564,0.4057776694295466,196,267,404,398
26,14842,5,0.3434847055652877,0.2682253065624579,194,268,397,397
27,15702,21,0.48364175628218425,0.7178066488345434,69,107,177,137
28,14336,27,0.44739516900510207,0.7087751116071429,59,89,159,101
29,19514,22,0.6325934493916455,0.6554781182740597,111,155,238,223
30,37615,79,0.30891931410341616,0.24179183836235543,443,649,1007,879
31,34579,82,0.3473288907801184,0.24595852974348592,397,561,915,762
32,9989,34,0.22872302389771607,0.21874061467614375,112,166,265,208
33,13114,38,0.24421011351009825,0.1685984444105536,159,233,379,292
34,9672,35,0.24899562802788608,0.1652191894127378,111,170,288,193
35,11086,34,0.21016210922398906,0.15145228215767634,139,202,332,252
36,37382,84,0.2652422479879545,0.12358889305013109,482,693,1131,934
37,22029,52,0.2081801261972854,0.19115711108084799,274,392,642,519
38,9825,32,0.26954561977462743,0.255470737913486,104,155,251,191
39,14034,38,0.24456931126448014,0.17600114008835685,169,247,409,306
40,12077,37,0.18018902518364305,0.09605034362838454,149,224,371,269
41,7913,14,0.462367532631655,0.10514343485403765,110,153,248,221
42,10638,24,0.31531168587006153,0.521808610641098,71,112,173,130
43,21812,37,0.3992494301956983,0.5657436273610856,169,243,384,300
44,16102,39,0.1684972585481839,0.23847969196373123,182,272,430,336
45,14532,38,0.13120797451928748,0.15889072391962566,190,275,444,354
46,21451,32,0.1983523911639151,0.3204978788867652,239,333,514,475
47,18762,40,0.09033456682961,0.12674554951497707,260,371,596,489
48,12367,38,0.19765736002495118,0.2548718363386432,145,215,344,261
49,54442,98,0.3630862726781319,0.3203225450938614,612,860,1353,1188
50,32264,56,0.16898976302646027,0.23053558145301264,418,590,913,808
51,15176,35,0.2657014835454477,0.40676067474960464,149,210,349,275
52,51267,87,0.307075841045061,0.3537168158854624,512,730,1162,1006
53,39340,69,0.19098699978211925,0.27813929842399593,441,632,999,847
54,66464,103,0.35132875369695304,0.2715304525758305,794,1109,1763,1586
55,21189,31,0.16511936786607606,0.2512152531974138,274,382,596,545
56,43663,43,0.3622288894487323,0.27492384856743696,546,748,1154,1099
57,27042,52,0.264831426247002,0.09037793062643296,365,522,849,732
58,47824,69,0.32194534722554125,0.2496654399464704,644,889,1380,1286
59,34822,57,0.32522543219803574,0.2530871288266039,406,573,902,812
