outcome_group,n,mean_att_margin,mean_cnn_margin,mean_att_abs_margin,mean_cnn_abs_margin,mean_missing_rate,mean_severe_frame_rate,mean_selected_windows_att,mean_selected_windows_cnn
attention_only_correct,4,0.02712500000000012,-0.06429199218749995,0.02712500000000012,0.06429199218749995,0.23447328587097419,0.15507273554322087,554.5,525.25
both_correct,40,0.23751200000000003,0.22501678466796876,0.23751200000000003,0.22501678466796876,0.31118462537737895,0.3564259091762582,466.6,474.325
both_wrong,6,-0.07686666666666664,-0.053224283854166665,0.07686666666666664,0.053224283854166665,0.3122460803934422,0.23734393071008697,446.5,446.5
cnnlstm_only_correct,7,-0.07362857142857145,0.09714425223214294,0.07362857142857145,0.09714425223214294,0.28429002554366395,0.2469025762615466,595.8571428571429,609.5714285714286
