model,x,y,spearman_r,p
AttentionNet_nested,mask_missing_rate,correct,-0.040663483555866256,0.7639290494276861
AttentionNet_nested,severe_frame_rate,correct,0.20077595005708962,0.13425323054565075
AttentionNet_nested,selected_valid_windows,correct,-0.05083182558794224,0.7072793716051025
AttentionNet_nested,abs_margin,correct,0.4168007064476291,0.0012588459040560344
AttentionNet_nested,signed_margin,correct,0.7268597685611093,1.5379642102717024e-10
CNNLSTM_nested,mask_missing_rate,correct,0.07289655955768008,0.589968399494774
CNNLSTM_nested,severe_frame_rate,correct,0.32803451800956035,0.012735172247172537
CNNLSTM_nested,selected_valid_windows,correct,-0.0743020285979981,0.5827994360935722
CNNLSTM_nested,abs_margin,correct,0.3841087945923912,0.003180042099602509
CNNLSTM_nested,signed_margin,correct,0.6588727498482623,2.5211980076704105e-08
