seed,model,n_subjects,accuracy,f1,errors
42,AttentionNet,57,0.8070175438596491,0.8070175438596491,"5,10,22,26,31,32,33,45,48,49,58"
43,AttentionNet,57,0.7719298245614035,0.7719298245614035,"3,5,10,25,26,31,35,38,42,43,45,48,49"
44,AttentionNet,57,0.7543859649122807,0.7407407407407407,"3,5,6,10,19,24,26,31,38,42,48,49,56,59"
45,AttentionNet,57,0.7368421052631579,0.7169811320754716,"1,3,5,10,19,20,24,25,36,38,43,44,48,56,59"
46,AttentionNet,57,0.8596491228070176,0.8571428571428571,"10,25,26,31,35,36,42,48"
