model,config,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,f1_mean,f1_sd,f1_min,f1_max
AttentionNet,Full_Preprocessing,0.7684210526315789,0.04541115475629747,0.7192982456140351,0.8421052631578947,0.7676218323586744,0.044088443746918525,0.7333333333333333,0.8421052631578947
AttentionNet,No_Filtering,0.7789473684210526,0.05897451338235649,0.7017543859649122,0.8421052631578947,0.7766139523497863,0.05483048947427027,0.7017543859649122,0.8301886792452831
CNNLSTM,Full_Preprocessing,0.7578947368421053,0.05321316101088806,0.6842105263157895,0.8245614035087719,0.7571699024437362,0.054226923108354086,0.7,0.8275862068965517
PureLSTM,Full_Preprocessing,0.7508771929824561,0.0625211567761595,0.6666666666666666,0.8070175438596491,0.7506817892188098,0.06296937223949581,0.6666666666666666,0.8135593220338984
