model,config,global_seed,fold_id,test_pid,window_ms,stride_ms,primary_score_tie_count
AttentionNet,Full_Preprocessing,43,49,51,1000,500,4
AttentionNet,Full_Preprocessing,43,50,52,1000,500,3
AttentionNet,Full_Preprocessing,43,51,53,1000,500,4
AttentionNet,Full_Preprocessing,43,52,54,1000,500,2
AttentionNet,Full_Preprocessing,43,53,55,1000,500,4
AttentionNet,Full_Preprocessing,43,54,56,1000,500,3
AttentionNet,Full_Preprocessing,43,55,57,1000,500,3
AttentionNet,Full_Preprocessing,43,56,58,2000,1000,1
AttentionNet,Full_Preprocessing,43,57,59,1000,500,4
AttentionNet,Full_Preprocessing,44,1,1,1000,500,4
AttentionNet,Full_Preprocessing,44,2,2,1000,500,4
AttentionNet,Full_Preprocessing,44,3,3,1000,500,3
AttentionNet,Full_Preprocessing,44,4,4,1000,500,4
AttentionNet,Full_Preprocessing,44,5,5,1000,500,4
AttentionNet,Full_Preprocessing,44,6,6,1000,500,1
AttentionNet,Full_Preprocessing,44,7,7,1000,500,2
AttentionNet,Full_Preprocessing,44,8,8,1000,500,1
AttentionNet,Full_Preprocessing,44,9,9,1000,500,4
AttentionNet,Full_Preprocessing,44,10,10,2000,500,2
AttentionNet,Full_Preprocessing,44,11,11,1500,750,3
AttentionNet,Full_Preprocessing,44,12,13,1000,500,4
AttentionNet,Full_Preprocessing,44,13,14,1000,500,4
AttentionNet,Full_Preprocessing,44,14,15,1000,500,4
AttentionNet,Full_Preprocessing,44,15,17,1000,500,4
AttentionNet,Full_Preprocessing,44,16,18,1000,500,4
AttentionNet,Full_Preprocessing,44,17,19,1000,500,4
AttentionNet,Full_Preprocessing,44,18,20,1000,500,2
AttentionNet,Full_Preprocessing,44,19,21,1000,500,3
AttentionNet,Full_Preprocessing,44,20,22,1000,500,4
AttentionNet,Full_Preprocessing,44,21,23,1000,500,4
AttentionNet,Full_Preprocessing,44,22,24,1000,500,3
AttentionNet,Full_Preprocessing,44,23,25,1000,500,4
AttentionNet,Full_Preprocessing,44,24,26,1000,500,3
AttentionNet,Full_Preprocessing,44,25,27,1000,500,4
AttentionNet,Full_Preprocessing,44,26,28,1000,500,2
AttentionNet,Full_Preprocessing,44,27,29,1000,500,4
AttentionNet,Full_Preprocessing,44,28,30,1500,750,3
AttentionNet,Full_Preprocessing,44,29,31,1000,500,4
AttentionNet,Full_Preprocessing,44,30,32,1000,500,4
AttentionNet,Full_Preprocessing,44,31,33,1000,500,3
AttentionNet,Full_Preprocessing,44,32,34,1000,500,4
AttentionNet,Full_Preprocessing,44,33,35,1000,500,4
AttentionNet,Full_Preprocessing,44,34,36,1000,500,4
AttentionNet,Full_Preprocessing,44,35,37,1000,500,3
AttentionNet,Full_Preprocessing,44,36,38,1000,500,4
AttentionNet,Full_Preprocessing,44,37,39,1000,500,4
AttentionNet,Full_Preprocessing,44,38,40,1000,500,4
AttentionNet,Full_Preprocessing,44,39,41,2000,500,1
AttentionNet,Full_Preprocessing,44,40,42,1000,500,4
AttentionNet,Full_Preprocessing,44,41,43,1500,750,2
AttentionNet,Full_Preprocessing,44,42,44,1000,500,2
AttentionNet,Full_Preprocessing,44,43,45,1500,750,1
AttentionNet,Full_Preprocessing,44,44,46,1000,500,2
AttentionNet,Full_Preprocessing,44,45,47,1000,500,1
AttentionNet,Full_Preprocessing,44,46,48,1000,500,4
AttentionNet,Full_Preprocessing,44,47,49,1000,500,4
AttentionNet,Full_Preprocessing,44,48,50,1000,500,4
AttentionNet,Full_Preprocessing,44,49,51,1500,750,1
AttentionNet,Full_Preprocessing,44,50,52,1000,500,1
AttentionNet,Full_Preprocessing,44,51,53,1000,500,4
AttentionNet,Full_Preprocessing,44,52,54,2000,500,1
AttentionNet,Full_Preprocessing,44,53,55,1000,500,4
AttentionNet,Full_Preprocessing,44,54,56,2000,500,1
AttentionNet,Full_Preprocessing,44,55,57,2000,1000,1
AttentionNet,Full_Preprocessing,44,56,58,1000,500,4
AttentionNet,Full_Preprocessing,44,57,59,1000,500,1
AttentionNet,Full_Preprocessing,45,1,1,1000,500,4
AttentionNet,Full_Preprocessing,45,2,2,1000,500,4
AttentionNet,Full_Preprocessing,45,3,3,1000,500,2
AttentionNet,Full_Preprocessing,45,4,4,1500,750,2
AttentionNet,Full_Preprocessing,45,5,5,1000,500,3
AttentionNet,Full_Preprocessing,45,6,6,1500,750,2
AttentionNet,Full_Preprocessing,45,7,7,1000,500,4
AttentionNet,Full_Preprocessing,45,8,8,1000,500,4
AttentionNet,Full_Preprocessing,45,9,9,1000,500,4
AttentionNet,Full_Preprocessing,45,10,10,1000,500,4
AttentionNet,Full_Preprocessing,45,11,11,1000,500,4
AttentionNet,Full_Preprocessing,45,12,13,2000,500,1
AttentionNet,Full_Preprocessing,45,13,14,1000,500,4
AttentionNet,Full_Preprocessing,45,14,15,1000,500,4
AttentionNet,Full_Preprocessing,45,15,17,1500,750,2
AttentionNet,Full_Preprocessing,45,16,18,1000,500,4
AttentionNet,Full_Preprocessing,45,17,19,1000,500,4
AttentionNet,Full_Preprocessing,45,18,20,1000,500,3
AttentionNet,Full_Preprocessing,45,19,21,1500,750,3
AttentionNet,Full_Preprocessing,45,20,22,1000,500,4
AttentionNet,Full_Preprocessing,45,21,23,1500,750,1
AttentionNet,Full_Preprocessing,45,22,24,2000,1000,1
AttentionNet,Full_Preprocessing,45,23,25,1000,500,4
AttentionNet,Full_Preprocessing,45,24,26,1000,500,4
AttentionNet,Full_Preprocessing,45,25,27,1000,500,3
AttentionNet,Full_Preprocessing,45,26,28,1000,500,1
AttentionNet,Full_Preprocessing,45,27,29,1000,500,3
AttentionNet,Full_Preprocessing,45,28,30,2000,500,2
AttentionNet,Full_Preprocessing,45,29,31,1000,500,1
AttentionNet,Full_Preprocessing,45,30,32,2000,1000,1
AttentionNet,Full_Preprocessing,45,31,33,1000,500,4
AttentionNet,Full_Preprocessing,45,32,34,1000,500,4
AttentionNet,Full_Preprocessing,45,33,35,1000,500,4
AttentionNet,Full_Preprocessing,45,34,36,1000,500,4
AttentionNet,Full_Preprocessing,45,35,37,1000,500,4
AttentionNet,Full_Preprocessing,45,36,38,1000,500,4
AttentionNet,Full_Preprocessing,45,37,39,1000,500,4
AttentionNet,Full_Preprocessing,45,38,40,1500,750,2
AttentionNet,Full_Preprocessing,45,39,41,1000,500,4
AttentionNet,Full_Preprocessing,45,40,42,1000,500,4
AttentionNet,Full_Preprocessing,45,41,43,1000,500,4
AttentionNet,Full_Preprocessing,45,42,44,1000,500,4
AttentionNet,Full_Preprocessing,45,43,45,1000,500,4
AttentionNet,Full_Preprocessing,45,44,46,1000,500,2
AttentionNet,Full_Preprocessing,45,45,47,1000,500,4
