comparison,n_participants,n_pipeline_seeds,delta_accuracy_mean,delta_accuracy_sd_across_seeds,delta_f1_mean,delta_f1_sd_across_seeds,seeds_a_higher_accuracy,seeds_equal_accuracy,seeds_a_lower_accuracy,seed_delta_accuracy,seed_delta_f1,per_seed_exact_mcnemar_p_diagnostic,per_seed_discordant_pairs,accuracy_ci95_low,accuracy_ci95_high,f1_ci95_low,f1_ci95_high,accuracy_familywise_ci_low,accuracy_familywise_ci_high,f1_familywise_ci_low,f1_familywise_ci_high,family_size
AttentionNet Full_Preprocessing minus No_Filtering (nested),57,5,-0.010526315789473672,0.06398099132915953,-0.00899211999111189,0.056557738838851575,3,0,2,"{""42"": 0.052631578947368474, ""43"": -0.07017543859649122, ""44"": 0.03508771929824561, ""45"": -0.08771929824561397, ""46"": 0.01754385964912275}","{""42"": 0.04824561403508776, ""43"": -0.04444444444444451, ""44"": 0.026167112696996675, ""45"": -0.08944793850454236, ""46"": 0.014519056261342977}","{""42"": 0.453125, ""43"": 0.34375, ""44"": 0.7265625, ""45"": 0.2265625, ""46"": 1.0}","{""42"": {""a_only_correct"": 5, ""b_only_correct"": 2}, ""43"": {""a_only_correct"": 3, ""b_only_correct"": 7}, ""44"": {""a_only_correct"": 5, ""b_only_correct"": 3}, ""45"": {""a_only_correct"": 3, ""b_only_correct"": 8}, ""46"": {""a_only_correct"": 5, ""b_only_correct"": 4}}",-0.0982456140350878,0.0736842105263158,-0.0982887597073548,0.0721877315205343,-0.0982456140350878,0.0736842105263158,-0.0982887597073548,0.0721877315205343,1
AttentionNet minus CNNLSTM (nested Full_Preprocessing),57,5,0.010526315789473672,0.05054336944171204,0.010451929914938308,0.03921466882217506,4,0,1,"{""42"": 0.07017543859649122, ""43"": -0.07017543859649122, ""44"": 0.01754385964912275, ""45"": 0.01754385964912286, ""46"": 0.01754385964912275}","{""42"": 0.050000000000000044, ""43"": -0.05238095238095242, ""44"": 0.0052631578947367474, ""45"": 0.03485838779956418, ""46"": 0.014519056261342977}","{""42"": 0.2890625, ""43"": 0.21875, ""44"": 1.0, ""45"": 1.0, ""46"": 1.0}","{""42"": {""a_only_correct"": 6, ""b_only_correct"": 2}, ""43"": {""a_only_correct"": 1, ""b_only_correct"": 5}, ""44"": {""a_only_correct"": 5, ""b_only_correct"": 4}, ""45"": {""a_only_correct"": 3, ""b_only_correct"": 2}, ""46"": {""a_only_correct"": 2, ""b_only_correct"": 1}}",-0.052631578947368474,0.07719298245614037,-0.049109781612401565,0.07487063884346358,-0.0736842105263158,0.09473684210526312,-0.06471554476564785,0.09214438434999535,3
AttentionNet minus PureLSTM (nested Full_Preprocessing),57,5,0.017543859649122816,0.06680502724442026,0.0169400431398647,0.0605934744102913,3,0,2,"{""42"": 0.08771929824561409, ""43"": -0.07017543859649122, ""44"": -0.03508771929824561, ""45"": 0.052631578947368474, ""46"": 0.05263157894736836}","{""42"": 0.08333333333333337, ""43"": -0.05238095238095242, ""44"": -0.04162949747249489, ""45"": 0.03898635477582846, ""46"": 0.05639097744360899}","{""42"": 0.2265625, ""43"": 0.3876953125, ""44"": 0.7265625, ""45"": 0.375, ""46"": 0.453125}","{""42"": {""a_only_correct"": 8, ""b_only_correct"": 3}, ""43"": {""a_only_correct"": 4, ""b_only_correct"": 8}, ""44"": {""a_only_correct"": 3, ""b_only_correct"": 5}, ""45"": {""a_only_correct"": 4, ""b_only_correct"": 1}, ""46"": {""a_only_correct"": 5, ""b_only_correct"": 2}}",-0.07017543859649122,0.10175438596491226,-0.0685825249823195,0.10162680331445588,-0.09473684210526312,0.1228070175438597,-0.0910299053716289,0.12442925427948552,3
CNNLSTM minus PureLSTM (nested Full_Preprocessing),57,5,0.007017543859649145,0.03637972167250475,0.006488113224926395,0.03489216268467308,3,1,1,"{""42"": 0.01754385964912286, ""43"": 0.0, ""44"": -0.05263157894736836, ""45"": 0.03508771929824561, ""46"": 0.03508771929824561}","{""42"": 0.033333333333333326, ""43"": 0.0, ""44"": -0.04689265536723164, ""45"": 0.0041279669762642746, ""46"": 0.041871921182266014}","{""42"": 1.0, ""43"": 1.0, ""44"": 0.548828125, ""45"": 0.7265625, ""46"": 0.6875}","{""42"": {""a_only_correct"": 6, ""b_only_correct"": 5}, ""43"": {""a_only_correct"": 5, ""b_only_correct"": 5}, ""44"": {""a_only_correct"": 4, ""b_only_correct"": 7}, ""45"": {""a_only_correct"": 5, ""b_only_correct"": 3}, ""46"": {""a_only_correct"": 4, ""b_only_correct"": 2}}",-0.07017543859649122,0.08070175438596494,-0.06684590349939556,0.08133541764514722,-0.09122807017543866,0.09824561403508769,-0.08503297005341971,0.10042219180742634,3
