condition,comparison,n_participants,n_seeds,delta_accuracy_mean,delta_accuracy_sd,delta_f1_mean,delta_f1_sd,seed_delta_accuracy,seed_delta_f1,seed_mcnemar_p,crossed_bootstrap_delta_accuracy_ci_low,crossed_bootstrap_delta_accuracy_ci_high,crossed_bootstrap_delta_f1_ci_low,crossed_bootstrap_delta_f1_ci_high
Full_Preprocessing,AttentionNet vs CNNLSTM,57,5,0.007017543859649145,0.05765500605317541,0.00735865667943556,0.06817848375943435,"{""42"": 0.01754385964912286, ""43"": 0.07017543859649122, ""44"": 0.01754385964912286, ""45"": 0.01754385964912286, ""46"": -0.08771929824561409}","{""42"": 0.02238354506957052, ""43"": 0.08201058201058198, ""44"": 0.013468013468013407, ""45"": 0.023378582202111642, ""46"": -0.10444743935309975}","{""42"": 1.0, ""43"": 0.2890625, ""44"": 1.0, ""45"": 1.0, ""46"": 0.0625}",-0.06315789473684219,0.08070175438596494,-0.07706046385064705,0.08757922172060012
Full_Preprocessing,AttentionNet vs PureLSTM,57,5,0.02105263157894739,0.04707511531578507,0.015314675966199464,0.057211027288838166,"{""42"": 0.052631578947368474, ""43"": 0.01754385964912286, ""44"": 0.01754385964912286, ""45"": 0.07017543859649122, ""46"": -0.052631578947368474}","{""42"": 0.06959247648902822, ""43"": 0.013784461152882233, ""44"": -0.005021971123666091, ""45"": 0.06695156695156701, ""46"": -0.06873315363881405}","{""42"": 0.453125, ""43"": 1.0, ""44"": 1.0, ""45"": 0.21875, ""46"": 0.453125}",-0.0491228070175439,0.08421052631578951,-0.06552606309367856,0.08655779337916239
Full_Preprocessing,CNNLSTM vs PureLSTM,57,5,0.014035087719298244,0.04188539082916951,0.007956019286763904,0.05020704704734725,"{""42"": 0.03508771929824561, ""43"": -0.05263157894736836, ""44"": 0.0, ""45"": 0.05263157894736836, ""46"": 0.03508771929824561}","{""42"": 0.0472089314194577, ""43"": -0.06822612085769975, ""44"": -0.018489984591679498, ""45"": 0.04357298474945537, ""46"": 0.0357142857142857}","{""42"": 0.7265625, ""43"": 0.453125, ""44"": 1.0, ""45"": 0.453125, ""46"": 0.625}",-0.052631578947368474,0.08070175438596483,-0.06449657127981698,0.07698707994903638
