model,config,global_seed,accuracy,f1
AttentionNet,Full_Preprocessing,42,0.7192982456140351,0.7241379310344828
AttentionNet,Linear_Interpolation,42,0.7017543859649122,0.711864406779661
AttentionNet,Without_Blink_Expansion,42,0.7192982456140351,0.7241379310344828
AttentionNet,No_Filtering,42,0.6666666666666666,0.6885245901639344
AttentionNet,Without_Mask_Features,42,0.6842105263157895,0.6785714285714286
AttentionNet,Full_Preprocessing,43,0.7894736842105263,0.7857142857142857
AttentionNet,Linear_Interpolation,43,0.7368421052631579,0.7368421052631579
AttentionNet,Without_Blink_Expansion,43,0.7719298245614035,0.7719298245614035
AttentionNet,No_Filtering,43,0.7017543859649122,0.6909090909090909
AttentionNet,Without_Mask_Features,43,0.7894736842105263,0.7777777777777778
AttentionNet,Full_Preprocessing,44,0.7543859649122807,0.7407407407407407
AttentionNet,Linear_Interpolation,44,0.7543859649122807,0.7407407407407407
AttentionNet,Without_Blink_Expansion,44,0.8070175438596491,0.8
AttentionNet,No_Filtering,44,0.7368421052631579,0.7368421052631579
AttentionNet,Without_Mask_Features,44,0.7368421052631579,0.7272727272727273
AttentionNet,Full_Preprocessing,45,0.8245614035087719,0.8076923076923077
AttentionNet,Linear_Interpolation,45,0.8421052631578947,0.8235294117647058
AttentionNet,Without_Blink_Expansion,45,0.7894736842105263,0.7777777777777778
AttentionNet,No_Filtering,45,0.7719298245614035,0.7547169811320755
AttentionNet,Without_Mask_Features,45,0.8245614035087719,0.8214285714285714
AttentionNet,Full_Preprocessing,46,0.7368421052631579,0.7169811320754716
AttentionNet,Linear_Interpolation,46,0.7894736842105263,0.7692307692307693
AttentionNet,Without_Blink_Expansion,46,0.8245614035087719,0.8214285714285714
AttentionNet,No_Filtering,46,0.8070175438596491,0.7924528301886793
AttentionNet,Without_Mask_Features,46,0.8421052631578947,0.8301886792452831
CNNLSTM,Full_Preprocessing,42,0.7017543859649122,0.7017543859649122
CNNLSTM,Linear_Interpolation,42,0.7368421052631579,0.7368421052631579
CNNLSTM,Without_Blink_Expansion,42,0.7017543859649122,0.7017543859649122
CNNLSTM,No_Filtering,42,0.6666666666666666,0.6885245901639344
CNNLSTM,Without_Mask_Features,42,0.7543859649122807,0.7407407407407407
CNNLSTM,Full_Preprocessing,43,0.7192982456140351,0.7037037037037037
CNNLSTM,Linear_Interpolation,43,0.7192982456140351,0.7142857142857143
CNNLSTM,Without_Blink_Expansion,43,0.7192982456140351,0.7142857142857143
CNNLSTM,No_Filtering,43,0.7719298245614035,0.7636363636363637
CNNLSTM,Without_Mask_Features,43,0.7543859649122807,0.7407407407407407
CNNLSTM,Full_Preprocessing,44,0.7368421052631579,0.7272727272727273
CNNLSTM,Linear_Interpolation,44,0.7017543859649122,0.6909090909090909
CNNLSTM,Without_Blink_Expansion,44,0.7368421052631579,0.7457627118644068
CNNLSTM,No_Filtering,44,0.6666666666666666,0.6666666666666666
CNNLSTM,Without_Mask_Features,44,0.7192982456140351,0.7241379310344828
CNNLSTM,Full_Preprocessing,45,0.8070175438596491,0.7843137254901961
CNNLSTM,Linear_Interpolation,45,0.7894736842105263,0.7692307692307693
CNNLSTM,Without_Blink_Expansion,45,0.7368421052631579,0.6938775510204082
CNNLSTM,No_Filtering,45,0.7543859649122807,0.7307692307692307
CNNLSTM,Without_Mask_Features,45,0.8070175438596491,0.7843137254901961
CNNLSTM,Full_Preprocessing,46,0.8245614035087719,0.8214285714285714
CNNLSTM,Linear_Interpolation,46,0.7719298245614035,0.7719298245614035
CNNLSTM,Without_Blink_Expansion,46,0.8070175438596491,0.7924528301886793
CNNLSTM,No_Filtering,46,0.8596491228070176,0.8571428571428571
CNNLSTM,Without_Mask_Features,46,0.7894736842105263,0.7857142857142857
PureLSTM,Full_Preprocessing,42,0.6666666666666666,0.6545454545454545
PureLSTM,Linear_Interpolation,42,0.7368421052631579,0.7272727272727273
PureLSTM,Without_Blink_Expansion,42,0.7543859649122807,0.7586206896551724
PureLSTM,No_Filtering,42,0.6842105263157895,0.6896551724137931
PureLSTM,Without_Mask_Features,42,0.7192982456140351,0.7037037037037037
PureLSTM,Full_Preprocessing,43,0.7719298245614035,0.7719298245614035
PureLSTM,Linear_Interpolation,43,0.7543859649122807,0.7586206896551724
PureLSTM,Without_Blink_Expansion,43,0.7894736842105263,0.7857142857142857
PureLSTM,No_Filtering,43,0.7894736842105263,0.7931034482758621
PureLSTM,Without_Mask_Features,43,0.6666666666666666,0.6885245901639344
PureLSTM,Full_Preprocessing,44,0.7368421052631579,0.7457627118644068
PureLSTM,Linear_Interpolation,44,0.7894736842105263,0.7931034482758621
PureLSTM,Without_Blink_Expansion,44,0.7543859649122807,0.7586206896551724
PureLSTM,No_Filtering,44,0.7543859649122807,0.75
PureLSTM,Without_Mask_Features,44,0.7192982456140351,0.7419354838709677
PureLSTM,Full_Preprocessing,45,0.7543859649122807,0.7407407407407407
PureLSTM,Linear_Interpolation,45,0.7368421052631579,0.7272727272727273
PureLSTM,Without_Blink_Expansion,45,0.7719298245614035,0.7547169811320755
PureLSTM,No_Filtering,45,0.7719298245614035,0.7719298245614035
PureLSTM,Without_Mask_Features,45,0.7543859649122807,0.7307692307692307
PureLSTM,Full_Preprocessing,46,0.7894736842105263,0.7857142857142857
PureLSTM,Linear_Interpolation,46,0.7894736842105263,0.7777777777777778
PureLSTM,Without_Blink_Expansion,46,0.7719298245614035,0.7719298245614035
PureLSTM,No_Filtering,46,0.7368421052631579,0.7368421052631579
PureLSTM,Without_Mask_Features,46,0.7719298245614035,0.7719298245614035
