Experiment,Accuracy,Accuracy_CI_Low,Accuracy_CI_High,F1_Score,F1_CI_Low,F1_CI_High
Ultimate,85.96%,77.15%,94.74%,85.19%,73.08%,93.75%
Ablation_No_J_Stat,82.46%,71.93%,91.23%,80.00%,65.22%,90.57%
Ablation_No_Expand,73.68%,63.11%,84.21%,73.68%,59.26%,85.25%
Ablation_Linear_Impute,71.93%,59.65%,82.46%,71.43%,56.00%,83.33%
Ablation_No_Mask,80.70%,70.18%,89.47%,79.25%,65.22%,89.66%
Ablation_Only_Trial_Intercept,73.68%,63.16%,84.21%,73.68%,59.56%,85.19%
Ablation_Only_Window_Intercept,80.70%,70.18%,91.23%,80.70%,66.67%,90.91%
Ablation_No_Intercept,71.93%,61.40%,82.46%,69.23%,52.38%,81.98%
