window_label,n,test_accuracy,mean_val_j,mean_val_f1,mean_val_acc,mean_signed_margin
1000/500,57,0.8070175438596491,0.9219297813201763,0.9560707323865218,0.9610136452241715,0.16868519565515352
1500/750,57,0.7543859649122807,0.929824517982457,0.9605263157894737,0.9649122807017544,0.1278060538308662
2000/1000,57,0.7543859649122807,0.9087718869122816,0.9477165135059873,0.9551656920077972,0.10418902480811404
2000/500,57,0.7719298245614035,0.9105262727982465,0.9483152325257588,0.9551656920077972,0.14515841300027413
